model,name,category,brand,voltage_class,rated_frequency,rated_voltage,rated_insulation_voltage,power_frequency_withstand_voltage,rated_impulse_withstand_voltage,rated_current,short_time_withstand_current,short_circuit_breaking_current,short_circuit_making_current,protection_degree,standard,dimension,capacity,scheme_options,raw_parameters,extra_notes
KYN61A-40.5,AC armored removable metal enclosed switchgear,Switchgear / RMU,Zhebao,,AC 50Hz / 60Hz,40.5kV,,95kV,185kV,1250A 1600A 2000A,25kA 31.5kA,25kA 31.5kA,63kA 80kA,"IP40, door open 2x",IEC62271-200,2450H *1200/ 1400W *2800D (mm),,,"Model: KYN61A-40.5 | Name: AC armored removable metal enclosed switchgear | Rated frequency: AC 50Hz / 60Hz | Rated voltage (Ue): 40.5kV | Power frequency withstand voltage (1min): 95kV | Rated impulse withstand voltage (Ump): 185kV | Rated current: 1250A 1600A 2000A | Short time withstand current Icw (4s): 25kA 31.5kA | Short circuit drop-out current: 25kA 31.5kA | Short circuit making curnt: 63kA 80kA | Protection Degree: IP40, door open 2x | Standard: IEC62271-200 | Dimension: 2450H *1200/ 1400W *2800D (mm)",
"KYN28A-24, ZBS-24",AC armored removable metal enclosed switchgear,Switchgear / RMU,Zhebao,,AC 50Hz / 60Hz,24kV,,65/79kV,125/145kV,630A 1250A 1600A 2000A 2500A 3150A 4000A,25kA 31.5kA 40kA,25kA 31.5kA 40kA,,"IP40, door open IP2x",IEC62271-200,2380H *800/1000/1100W *1900/2250D (mm),,,"Model: KYN28A-24, ZBS-24 | Name: AC armored removable metal enclosed switchgear | Rated frequency: AC 50Hz / 60Hz | Rated voltage (Ue): 24kV | Power frequency withstand voltage (1min): 65/79kV | Rated impulse withstand voltage (Uimp): 125/145kV | Rated current (Ir): 630A 1250A 1600A 2000A 2500A 3150A 4000A | Short time withstand current (Icw) (4s): 25kA 31.5kA 40kA | Short circuit drop-out current: 25kA 31.5kA 40kA | Protect Degree: IP40, door open IP2x | Standard: IEC62271-200 | Dimension: 2380H *800/1000/1100W *1900/2250D (mm)",
"KYN28A-12, GZS1-12",AC armored removable metal enclosed switchgear,Switchgear / RMU,Zhebao,,AC 50Hz / 60Hz,12kV,,42/48kV,75/85kV,630A 1250A 1600A 2000A 2500A 3150A 4000A,25kA 31.5kA 40kA,25kA 31.5kA 40kA,,"IP40, door open IP2x",IEC62271-200,2260H *650/800/1000W *1450/1610D (mm),,,"Model: KYN28A-12, GZS1-12 | Name: AC armored removable metal enclosed switchgear | Rated frequency: AC 50Hz / 60Hz | Rated voltage (Ue): 12kV | Power frequency withstand voltage (1min): 42/48kV | Rated impulse withstand voltage (Uimp): 75/85kV | Rated current (Ir): 630A 1250A 1600A 2000A 2500A 3150A 4000A | Short time withstand current (Icw) (4s): 25kA 31.5kA 40kA | Short circuit drop-out current: 25kA 31.5kA 40kA | Protect Degree: IP40, door open IP2x | Standard: IEC62271-200 | Dimension: 2260H *650/800/1000W *1450/1610D (mm)",
KYN28A-12(F-C),AC armored removable metal enclosed switchgear,Switchgear / RMU,Zhebao,,AC 50Hz / 60Hz,12kV,,42kV,75kV,630A 1250A 1600A 2000A 2500A 3150A,25kA 31.5kA 40kA,25kA 31.5kA 40kA,,"IP40, door open IP2x",IEC62271-200,2240H *650W *1500D (mm),,,"Model: KYN28A-12(F-C) | Name: AC armored removable metal enclosed switchgear | Rated frequency: AC 50Hz / 60Hz | Rated voltage (Ue): 12kV | Power frequency withstand voltage (1min): 42kV | Rated impulse withstand voltage (Uimp): 75kV | Rated current (Ir): 630A 1250A 1600A 2000A 2500A 3150A | Short time withstand current (Icw) (4s): 25kA 31.5kA 40kA | Short circuit drop-out current: 25kA 31.5kA 40kA | Protect Degree: IP40, door open IP2x | Standard: IEC62271-200 | Dimension: 2240H *650W *1500D (mm)",
HXGN17-12,AC metal clad Ring Main Unit switchgear,Switchgear / RMU,Zhebao,,AC 50Hz / 60Hz,12kV,,42/48kV,75/85kV,630A,20kA,25kA 31.5kA,,"IP40, door open IP2x",IEC62271-200,1950H *400/ 700W *900D (mm),,,"Model: HXGN17-12 | Name: AC metal clad Ring Main Unit switchgear | Rated frequency: AC 50Hz / 60Hz | Rated voltage (Ue): 12kV | Power frequency withstand voltage (1min): 42/48kV | Rated impulse withstand voltage (Uimp): 75/85kV | Rated current (Ir): 630A | Short time withstand current (Icw) (4s): 20kA | Short circuit drop-out current: 25kA 31.5kA | Protect Degree: IP40, door open IP2x | Standard: IEC62271-200 | Dimension: 1950H *400/ 700W *900D (mm)",
XGN15-12,AC metal enclosed RMU,Switchgear / RMU,Zhebao,,,12kV,,42kV,75kV,"630A (load switch panel), 125A (LS-Fuse combined)",20kA,"31.5kA (combined panel, CB panel)",,,,"for LS & Comb 1600H *375(500)W *960D (mm), for VCB Metering 750W",,"load switch panel, LBS - fuse combined apparatus, CB panel, metering, cable cabinet","Model: XGN15-12 | Name: AC metal enclosed RMU | Scheme options: load switch panel, LBS - fuse combined apparatus, CB panel, metering, cable cabinet | Rated voltage (Ue): 12kV | Power freq withstand volt(1min): 42kV | Rated impulse withstand voltage (Uimp): 75kV | Rated current (Ir): 630A (load switch panel), 125A (LS-Fuse combined) | Short time withstand current (Icw) (4s): 20kA | Short circuit drop-out current: 31.5kA (combined panel, CB panel) | Rated transfer current: 1700A (comb) | Dimension: for LS & Comb 1600H *375(500)W *960D (mm), for VCB Metering 750W",Rated transfer current: 1700A (comb)
ZBF-24A (XGN15-24),AC metal enclosed RMU,Switchgear / RMU,Zhebao,,,"24kV, 12kV(for plateau)",,,,630A,20kA,"20kA (combined panel, CB panel)",,,,"for LS & Comb 1800H *500W *1000D (mm), for VCB panel 750W",,"load switch panel ZBF-24/AR, load switch - fuse combined apparatus -24/AT, Vacuum CB panel -24/AV","Model: ZBF-24A (XGN15-24) | Name: AC metal enclosed RMU | Scheme options: load switch panel ZBF-24/AR, load switch - fuse combined apparatus -24/AT, Vacuum CB panel -24/AV | Rated voltage (Ue): 24kV, 12kV(for plateau) | Rated current (Ir): 630A | Short time withstand current (Icw) (4s): 20kA | Short circuit drop-out current: 20kA (combined panel, CB panel) | Rated transfer current: 1400A (comb) | Sulfur hexafluoride SF6 as insulation and arc interrupter | 3.0mm SS full sealed cabinet | Visible window on interlock | Dimension: for LS & Comb 1800H *500W *1000D (mm), for VCB panel 750W",Rated transfer current: 1400A (comb) | Sulfur hexafluoride SF6 as insulation and arc interrupter | 3.0mm SS full sealed cabinet | Visible window on interlock
ZBF-12 (24),AC gas insulated metal enclosed switchgear RMU (compact),Switchgear / RMU,Zhebao,,,12kV 24KV,,,,630A,20kA,,,"SF6 enclosure IP67, shell IP4x",IEC62271-200,1200H *325W *785D (mm) per unit,,,"Model: ZBF-12 (24) | Name: AC gas insulated metal enclosed switchgear RMU (compact) | Rated voltage (Ue): 12kV 24KV | Rated current (Ir): 630A | Short time withstand current (Icw) (4s): 20kA | Sulfur hexafluoride SF6 as insulation and arc interrupter | 3.0mm SS full sealed cabinet | Visible indicator on interlock | Compact design, for outdoor cable branch box or sub section post (SSP) | Protect Degree: SF6 enclosure IP67, shell IP4x | Standard: IEC62271-200 | Dimension: 1200H *325W *785D (mm) per unit","Sulfur hexafluoride SF6 as insulation and arc interrupter | 3.0mm SS full sealed cabinet | Visible indicator on interlock | Compact design, for outdoor cable branch box or sub section post (SSP)"
ZBF-12 (24) /DPS,AC gas insulated metal enclosed switchgear RMU (duplicate power supply switching),Switchgear / RMU,Zhebao,,,12kV 24KV,,,,630A,20kA,,,"SF6 enclosure IP67, shell IP4x",IEC62271-200,"manual, power-driven 1600H *650W *785D (mm) manual, power-driven, auto 2000H *650W *785D",,,"Model: ZBF-12 (24) /DPS | Name: AC gas insulated metal enclosed switchgear RMU (duplicate power supply switching) | Rated voltage (Ue): 12kV 24KV | Rated current (Ir): 630A | Short time withstand current (Icw) (4s): 20kA | Sulfur hexafluoride SF6 as insulation and arc interrupter | 3.0mm SS full sealed cabinet | Visible window on interlock | Single hole operation three position load switch (Close1 - Open - Close2) | Protect Degree: SF6 enclosure IP67, shell IP4x | Standard: IEC62271-200 | Dimension: manual, power-driven 1600H *650W *785D (mm) manual, power-driven, auto 2000H *650W *785D",Sulfur hexafluoride SF6 as insulation and arc interrupter | 3.0mm SS full sealed cabinet | Visible window on interlock | Single hole operation three position load switch (Close1 - Open - Close2)
ZES-12,"AC Environmental GIS metal enclosed switchgear, RMU",Switchgear / RMU,Zhebao,,,12kV,,42/48kV,,250A / 630A,"main circuit 20kA/2s, 25kA/4s",20kA/ 25kA (VCB panel),,"IP67, shell IP4x",,1700H *375W *780D (mm),,"VCB panel, Vacuum load break switch panel","Model: ZES-12 | Name: AC Environmental GIS metal enclosed switchgear, RMU | Scheme options: VCB panel, Vacuum load break switch panel | Rated voltage (Ue): 12kV | Rated power freq withstand voltage (1min): 42/48kV | Rated current (Ir): 250A / 630A | Short time withstand current (Icw): main circuit 20kA/2s, 25kA/4s | Short circuit drop-out current: 20kA/ 25kA (VCB panel) | Rated transfer current: 2200A (for T) | Protect Degree: IP67, shell IP4x | Annual leakage: 0.1% | Dimension: 1700H *375W *780D (mm)",Rated transfer current: 2200A (for T) | Annual leakage: 0.1%
