company,country,city,icp_segment,product_focus,website,public_email,public_phone,public_whatsapp,fit_notes,source,verified_date
Al Yasmeen Electrical & Switchgear Trading LLC,UAE,Sharjah,ICP-A,Switchgear accessories & trading,https://alyasmeenelectrical.com,,+971 6 533 3572,+971 50 769 1484,"Switchgear distributor/wholesaler since 2001; email on site (yaselec@...)",Google search + alyasmeenelectrical.com,2026-06-27
Majid Electromechanical (MEM),UAE,Dubai (Al Qusais),ICP-A,Schneider distributor; LV/MV components,https://mem.ae,info@mem.ae,+971 4 207 3999,+971 50 657 7308,"Authorized Schneider distributor; buys/resells distribution gear",mem.ae,2026-06-27
GoSwitchgear Electrical Store,UAE,Dubai,ICP-A,Switchgear & panel accessories,http://goswitchgear.com,,+971 54 530 8331,+971 54 530 8331,"Switchgear & instruments retailer; high review count",Google Places + goswitchgear.com,2026-06-27
Brands Electrical Equipment LLC,UAE,Abu Dhabi (Mussafah),ICP-A,Switchgear & electrical equipment,https://brandsllcuae.com,switchgear@brandsllcuae.com,,+971 56 334 2980,"Publishes switchgear sales contact + WhatsApp",brandsllcuae.com/contact-switchgear.php,2026-06-27
Al Mayar Electric Switchgear Ind. LLC,UAE,Sharjah,ICP-C,Switchgear manufacturing & supply,https://almayarelectric.com,,+971 6 535 3455,,"Panel/switchgear builder - buys components & breakers",Google Places + almayarelectric.com,2026-06-27
Pacific Ocean Electrical Switchgear Industries LLC,UAE,Sharjah,ICP-C,Switchgear industries,,,+971 6 534 5334,,"Switchgear assembler; component buyer",atninfo.com listing,2026-06-27
First Class UAE,UAE,Dubai,ICP-A,"Switchgear, UPS, batteries",https://firstclassuae.com,,+971 55 202 7095,+971 55 959 0300,"Electrical trading & control panel supplier",firstclassuae.com,2026-06-27
JIS Electrical,UAE,Dubai,ICP-A,LV switchgear & European brands,https://www.jiselectric.com,,,,"LV switchgear supplier since 2000; contact via site",jiselectric.com,2026-06-27
PHOE Electricals,UAE,Dubai,ICP-A,"MCB/ACB/MCCB, Schneider/Siemens/ABB",https://phoeelectric.com,,,,"Multi-brand electrical supplier; contact via site",phoeelectric.com,2026-06-27
Goldenway Electrical Trading LLC,UAE,Dubai,ICP-A,General electrical trading,https://goldenwayelectricals.com,,+971 55 277 5120,+971 55 277 5120,"One-stop electrical trader since 2010",goldenwayelectricals.com,2026-06-27
Sebha Trading Company,Saudi Arabia,Jeddah/Dammam/Riyadh,ICP-A,LV/HV distribution systems & switchgear,https://www.sebhatrading.sa,nawshad@sebhatrading.com,+966 50 105 6084,+966 50 105 6084,"Self-described best switchgear distributor in KSA",sebhatrading.sa,2026-06-27
Nimra Electric,Saudi Arabia,Jeddah,ICP-A,"400+ products, Schneider/ABB/Siemens",https://nimraelectric.com,admin@nimraelectric.com,+966 53 946 2309,+966 53 946 2309,"Importer & distributor of electrical materials",nimraelectric.com,2026-06-27
Amt Electric (AMIT),Saudi Arabia,Jeddah,ICP-A,LV components distribution,https://amit.com.sa,sales-g1@amit.com.sa,+966 50 086 6842,+966 50 086 6842,"Multi-branch LV component distributor",Google AI overview,2026-06-27
Advanced Link Trading Est.,Saudi Arabia,Dammam,ICP-A,Power distribution equipment,https://advancedlinktrade.com,info@advancedlinktrade.com,+966 59 164 6495,+966 59 164 6495,"Industrial parts supplier - power distribution",advancedlinktrade.com,2026-06-27
